P1_TT_d,P1_TT_n,P2_TT_d,P2_TT_n
0.29664962,0.0042426407,0.033778692,0.012727922
0.17856091,0.0090553851,0.06932532,0.040755368
0.39094885,0.010816654,0.074135012,0.037696154
0.28626212,0.01029563,0.16962016,0.012369317
0.46676868,0.0067082039,0.24492856,0.068212902
0.33146493,0.0099498744,0.094963151,0.0698212
1.0700159,0.010723805,0.13747,0.009
0.17134176,0.008,0.10824047,0.016155494
0.73911636,0.010440307,0.17773295,0.020124612
0.53218136,0.009486833,0.41508312,0.0067082039
1.5495325,0.01473092,0.7321407,0.014071247
1.4544016,0.009486833,0.29035323,0.006
0.17160711,0.006,0.19079308,0.0067082039
0.076478755,0.0067082039,1.1915926,0.0099498744
0.051224994,0.0073484692,0.49205081,0.0
0.083821238,0.0042426407,0.15873878,0.0042426407
0.018681542,0.009486833,0.14591093,0.0067082039
0.033555923,0.009486833,0.099764723,0.009486833
0.059228372,0.011224972,0.10469957,0.018973666
0.10129166,0.016155494,0.080286985,0.0067082039
0.060770058,0.005,0.14347474,0.006
0.11315034,0.014317821,0.12581733,0.0
0.047759816,0.024919872,0.14310136,0.041545156
0.015,0.003,0.044068129,0.038470768
0.037336309,0.01835756,0.1550516,0.003
0.034799425,0.011401754,0.13601838,0.0099498744
0.030166206,0.0073484692,0.26947542,0.018493242
0.042906876,0.011224972,0.14399306,0.017233688
0.031032241,0.009,0.37459578,0.0067082039
0.021931712,0.010816654,0.32341459,0.003
0.016822604,0.006,0.36637958,0.0099498744
0.012884099,0.0042426407,0.91155746,0.016970563
0.0,0.009486833,0.6406645,0.021213203
0.014317821,0.014525839,0.083282651,0.005
0.027676705,0.011916375,0.097780366,0.018681542
0.040360872,0.010816654,0.17103216,0.013747727
0.050566788,0.0042426407,1.015424,0.01954482
0.036469165,0.003,0.63072102,0.006
0.072346389,0.006,0.14972308,0.0058309519
0.067475922,0.003,0.1253156,0.0085440037
0.02974895,0.0042426407,0.23656077,0.012727922
0.047106263,0.003,0.43060074,0.016155494
0.14559533,0.009486833,1.1059376,0.026570661
0.059715995,0.0073484692,0.24439722,0.055767374
0.067609171,0.0067082039,0.15069506,0.026495283
0.026324893,0.0042426407,0.13100763,0.03391165
0.04482187,0.0051961524,0.13061393,0.009
0.042047592,0.009,0.20114174,0.009
0.072346389,0.003,1.2576045,0.0042426407
0.033600595,0.003,0.043370497,0.013747727
0.010816654,0.0067082039,0.14751949,0.003
0.007,0.006,0.087686943,0.0042426407
0.023579652,0.0042426407,0.16978516,0.0042426407
0.056973678,0.0067082039,0.28711148,0.0042426407
0.027202941,0.003,0.29491355,0.0
0.021213203,0.0099498744,0.12688578,0.0067082039
0.056071383,0.012727922,0.13803623,0.0051961524
0.054744863,0.009486833,0.19186975,0.036249138
0.020808652,0.0042426407,0.12761661,0.0084852814
0.012369317,0.009486833,0.09721111,0.010392305
0.020736441,0.0067082039,0.177837,0.024919872
0.025942244,0.013747727,0.16726924,0.0099498744
0.009,0.011224972,0.15220381,0.021213203
0.009486833,0.018,0.26520558,0.0092195445
0.0099498744,0.016155494,0.11576269,0.0058309519
0.0067082039,0.022449944,0.14089003,0.009486833
0.0036055513,0.0067082039,0.13065221,0.049050994
0.003,0.010816654,0.24521827,0.012884099
0.01029563,0.010816654,0.57554235,0.050199602
0.0099498744,0.012727922,0.67722817,0.16903846
0.009486833,0.012369317,0.59247532,0.057306195
0.0067082039,0.016431677,0.21833003,0.14752288
0.0067082039,0.013076697,0.34770965,0.12267029
0.003,0.02034699,0.19916576,0.022135944
0.022671568,0.019078784,0.17177602,0.026095977
0.017492856,0.0098488578,0.095571962,0.0094339811
0.003,0.011224972,0.46820722,0.0275318
0.015,0.0042426407,0.08579627,0.012
0.029068884,0.010392305,0.67469771,0.015231546
0.024289916,0.006,0.50209959,0.015524175
0.013747727,0.010816654,0.18217025,0.010816654
0.063686733,0.0,0.11374093,0.038470768
0.058429445,0.003,0.26322044,0.029614186
0.021470911,0.017492856,0.13151806,0.0073484692
0.014525839,0.014071247,0.27837205,0.016970563
0.016822604,0.009,0.14909393,0.010816654
0.021656408,0.010816654,0.27801259,0.0073484692
0.024515301,0.009486833,0.12445481,0.0
0.018601075,0.013076697,0.28627609,0.013076697
0.003,0.012727922,0.18446951,0.0067082039
0.016124515,0.015588457,0.3086924,0.0073484692
0.0078102497,0.018973666,0.23340094,0.003
0.014525839,0.009,0.12612296,0.0042426407
0.0067082039,0.009486833,0.031906112,0.003
0.010816654,0.0073484692,0.2403435,0.0073484692
0.0,0.019209373,0.097005155,0.006
0.006,0.009486833,0.16818442,0.009
0.011224972,0.0067082039,0.12345445,0.0
0.015427249,0.017748239,0.34377464,0.0084852814
0.009,0.013076697,1.6361687,0.015
0.012041595,0.0084852814,0.41570302,0.0042426407
0.0058309519,0.012,0.20964017,0.0042426407
0.0051961524,0.013416408,0.17085081,0.006
0.012,0.015231546,0.18727787,0.0
0.011224972,0.021725561,0.26726204,0.0067082039
0.0098488578,0.009486833,0.049101935,0.0073484692
0.010440307,0.0099498744,0.13934848,0.0067082039
0.018027756,0.009486833,0.14644453,0.015297059
0.015620499,0.009,0.3610457,0.012727922
0.01954482,0.003,1.0469298,0.0042426407
0.017,0.009,1.5514229,0.003
0.006,0.0073484692,0.19989997,0.006
0.011661904,0.0042426407,0.61053174,0.006
0.013747727,0.010392305,0.44603699,0.0099498744
0.018973666,0.006,0.36048162,0.0073484692
0.0051961524,0.009486833,0.49394129,0.006
0.0099498744,0.015297059,0.26207632,0.0084852814
0.009486833,0.012727922,0.25452898,0.012369317
0.012727922,0.012,0.119105,0.013747727
0.010816654,0.0042426407,0.17206394,0.010816654
0.013453624,0.0067082039,0.15147937,0.011224972
0.012409674,0.0099498744,0.1130752,0.003
0.015811388,0.0042426407,1.2794569,0.003
0.014317821,0.0067082039,0.67941298,0.015297059
0.013,0.0,0.2720919,0.018493242
0.0042426407,0.0042426407,0.34586269,0.006
0.0067082039,0.0051961524,1.3740193,0.010816654
0.015588457,0.022649503,0.38816878,0.0084852814
0.015,0.012727922,0.25263016,0.009
0.003,0.009486833,0.10456577,0.006
0.0067082039,0.026324893,0.14145317,0.009
0.0042426407,0.009486833,0.10459924,0.006
0.010723805,0.009,0.13482581,0.015
0.013747727,0.0067082039,0.10167596,0.060282667
0.01,0.013416408,0.11970798,0.050892043
0.006,0.0042426407,0.21614116,0.015
0.0083666003,0.0051961524,0.62878454,0.010816654
0.0,0.012369317,0.84049807,0.012369317
0.0083666003,0.017492856,0.52200958,0.016431677
0.006,0.0099498744,0.51971819,0.022737634
0.0067082039,0.018493242,0.46785575,0.014628739
0.0099498744,0.003,0.61686384,0.0067082039
0.042237424,0.009486833,0.3909335,0.015
0.034307434,0.006,0.25057135,0.016278821
0.029154759,0.006,0.12439453,0.010440307
0.010723805,0.003,0.31395223,0.018248288
0.010816654,0.0073484692,0.1702645,0.013747727
0.01,0.0051961524,0.41410144,0.018708287
0.003,0.0067082039,0.67893593,0.0067082039
0.014525839,0.010816654,0.18814888,0.012727922
0.011401754,0.019209373,0.51123967,0.0053851648
0.0090553851,0.02034699,1.290381,0.003
0.015588457,0.016970563,0.47245952,0.003
0.006,0.016431677,0.14684345,0.0053851648
0.009486833,0.016431677,0.072532751,0.0117047
0.006,0.12407256,0.051439285,0.0084852814
0.0051961524,0.27122869,0.12014574,0.012369317
0.0067082039,0.38381506,0.28013033,0.0
0.0067082039,0.17546795,0.14143903,0.009
0.0078102497,0.16865646,0.42279309,0.0073484692
0.008,0.11371455,0.44712079,0.009
0.0067082039,0.09001111,0.7876211,0.0067082039
0.0090553851,0.086463865,0.815981,0.0067082039
0.003,0.10173003,1.0503357,0.014071247
0.0058309519,0.062697687,0.34981281,0.003
0.006,0.43516663,0.31414169,0.0067082039
0.009486833,0.43085496,0.41739669,0.011224972
0.0,0.16743357,0.21826589,0.0067082039
0.011916375,0.095859272,0.12318279,0.0067082039
0.0,0.046882833,0.011224972,0.009
0.0058309519,0.054881691,0.3517627,0.0084852814
0.009486833,0.02611513,0.40466035,0.015
0.012369317,0.0067082039,0.35331855,0.0067082039
0.013341664,0.019,0.25528024,0.003
0.0073484692,0.018493242,0.60818583,0.019442222
0.012041595,0.021424285,0.32964526,0.016155494
0.0073484692,0.018493242,0.21854977,0.0092195445
0.0042426407,0.012727922,0.27146639,0.010440307
0.0051961524,0.0099498744,0.22745769,0.018
0.0085440037,0.009486833,0.37941798,0.031064449
0.0083666003,0.015297059,0.079912452,0.015556349
0.0083666003,0.006,0.21066799,0.0036055513
0.013892444,0.015427249,0.10752209,0.006
0.033955854,0.011401754,0.02034699,0.020663978
0.025,0.0099498744,0.043416587,0.016970563
0.023065125,0.009,0.053572381,0.036769553
0.01421267,0.016155494,0.016822604,0.038910153
0.013892444,0.021,0.10309704,0.020124612
0.014525839,0.0042426407,0.12348684,0.0078102497
0.003,0.010816654,0.089044932,0.003
0.011224972,0.011224972,0.025495098,0.010440307
0.0073484692,0.012369317,0.034132096,0.014696938
0.017233688,0.0085440037,0.44701454,0.012369317
0.012727922,0.01029563,0.85685063,0.018
0.02745906,0.0085440037,1.3479518,0.04365776
0.021213203,0.010440307,2.5408042,0.1390036
0.010440307,0.0067082039,0.92128497,0.23507233
0.003,0.010816654,0.72977668,0.19596939
0.012369317,0.003,0.5019502,0.34613581
0.013416408,0.013747727,1.0316288,0.24817333
0.0084852814,0.011224972,1.61144,0.10557935
0.003,0.0042426407,1.383849,0.19366466
0.012041595,0.0042426407,0.55752399,0.093322023
0.020880613,0.016431677,0.62382209,0.13066752
0.012369317,0.0042426407,0.35131894,0.14525151
0.0,0.0067082039,0.20170027,0.037854986
0.0084852814,0.015427249,0.24849346,0.12847568
0.0073484692,0.021679483,0.18017214,0.17285254
0.010440307,0.014628739,0.10176443,0.2256258
0.0083666003,0.0084852814,0.21279333,0.90542973
0.005,0.022869193,0.14274453,0.77468768
0.013,0.019235384,0.047010637,0.27220764
0.017492856,0.012727922,0.076642025,0.27670381
0.015524175,0.038678159,0.069491007,0.73958502
0.0058309519,0.018275667,0.10279105,0.59976745
0.012369317,0.28951166,0.081621076,0.071561163
0.014317821,0.34396221,0.010816654,0.20728
0.020736441,0.48293374,0.11825819,0.21774756
0.015588457,1.0504728,0.27412588,0.22747967
0.0042426407,0.74254293,0.34129313,0.068330081
0.015427249,0.44824212,0.21546926,0.13352153
0.0083666003,0.29897826,0.1702645,0.047549974
0.013076697,0.10114346,0.39345775,0.17729354
0.0067082039,0.052858301,0.61135342,0.23207326
0.0073484692,0.046914816,0.2590193,0.4764756
0.015297059,0.015231546,0.31136634,0.4118944
0.01029563,0.015264338,0.081055537,0.45949973
0.008,0.019235384,0.080162335,0.044810713
0.0073484692,0.014422205,0.56761431,0.16237611
0.0073484692,0.015362291,0.21673486,0.16014369
0.0042426407,0.016673332,0.15820556,0.18049654
0.011224972,0.018973666,0.22543513,0.04590207
0.009486833,0.019209373,0.12811323,0.29680465
0.012369317,0.014696938,0.24600407,0.42004047
0.011224972,0.0067082039,0.15590382,0.72397652
0.0058309519,0.0067082039,0.17987496,0.75579693
0.0078102497,0.0067082039,0.24833244,0.47087684
0.0067082039,0.003,0.1078981,0.2195928
0.0067082039,0.0067082039,0.54321819,1.1228847
0.012727922,0.0067082039,0.4875541,0.31296805
0.009,0.011224972,0.12559459,0.56461049
0.010816654,0.009,0.17548504,0.33605208
0.012727922,0.0073484692,0.15604487,0.28290281
0.011224972,0.009486833,0.42443138,0.091268834
0.0051961524,0.003,0.44271887,0.091596943
0.0042426407,0.012369317,0.25351331,0.070292247
0.0051961524,0.015,0.39102685,0.35637901
0.014696938,0.012727922,0.37533585,0.457893
0.015588457,0.0067082039,0.29773142,0.22934908
0.012369317,0.017748239,0.39768958,0.25196428
0.027892651,0.017748239,0.066962676,0.43243265
0.013453624,0.010816654,0.42687703,0.10121759
0.013747727,0.0042426407,0.27406751,0.10289315
0.009,0.006,0.64808487,0.089325248
0.012369317,0.030740852,0.43196065,0.20704106
0.015297059,0.028301943,0.11184364,0.13698905
0.0073484692,0.009,0.055767374,0.2195131
0.018493242,0.052630789,0.15616978,0.2152696
0.017748239,0.043965896,0.10151847,0.11269871
0.0073484692,0.0084852814,0.17853571,0.16621973
0.003,0.009,0.32037634,0.38015918
0.009486833,0.013076697,0.1267675,0.16170034
0.015,0.017492856,0.4097487,0.16172198
0.011224972,0.009,0.62323431,0.073109507
0.010816654,0.0067082039,0.31742243,0.041665333
0.016431677,0.012369317,0.33373942,0.055973208
0.019209373,0.012369317,0.074899933,0.10589618
0.006,0.013747727,0.049979996,0.051942276
0.0084852814,0.006,0.11736269,0.17795505
0.0067082039,0.009486833,0.20010247,0.30151285
0.006,0.009486833,0.018681542,0.50681456
0.015297059,0.0042426407,0.15709233,0.11499565
0.009,0.016155494,0.035749126,0.067653529
0.010392305,0.018248288,0.058352378,0.081847419
0.024372115,0.009,0.073830888,0.045321077
0.52319021,0.012369317,0.23047126,0.04586938
0.43990226,0.006,0.23625622,0.17378147
0.62724875,0.023043437,0.18398098,0.087806606
0.32501692,0.0099498744,0.067675697,0.057506521
0.36138345,0.0067082039,0.062657801,0.17951323
0.17527692,0.013416408,0.065795137,0.032186954
0.14541664,0.014071247,0.065681047,0.043874822
0.27589128,0.0073484692,0.06143289,0.27703249
0.3280564,0.0067082039,0.13315029,0.33766848
0.15165751,0.006,0.21057065,0.86710668
0.36679149,0.006,0.16090059,0.45550521
0.082322536,0.0099498744,0.056471232,0.24759847
0.078949351,0.021633308,0.16876018,0.075986841
0.0500999,0.018,0.13791302,0.30028486
0.067119297,0.013076697,0.34439222,0.1951666
0.046669048,0.0,0.26312164,0.075564542
0.008,0.015297059,0.3595525,0.051283526
0.019209373,0.018493242,0.52134921,0.018841444
0.0098994949,0.016155494,0.92889881,0.062553977
0.012165525,0.009,0.2002823,0.07935994
0.014317821,0.009486833,1.5611108,0.12529565
0.0083666003,0.0073484692,0.40990365,0.070221079
0.011916375,0.009,0.27452687,0.16733499
0.010488088,0.0084852814,0.11606033,0.33915336
0.0036055513,0.0067082039,0.067609171,0.45025548
0.002,0.009486833,0.067720012,0.50320771
0.0066332496,0.012,0.117,0.099317672
0.0063245553,0.027073973,0.18274299,0.42708547
0.010816654,0.027676705,0.18193405,0.9161632
0.011661904,0.019209373,0.27850494,0.25338706
0.006,0.017233688,0.31714508,0.03748333
0.0085440037,0.019442222,0.35975269,0.073681748
0.012041595,0.072131824,0.16032779,0.085854528
0.003,0.050149776,0.089632583,0.13438006
0.0063245553,0.017748239,0.060440053,0.093829633
0.015427249,0.0099498744,0.089877695,0.10596698
0.01029563,0.016155494,0.16826764,0.020736441
0.0063245553,0.0067082039,0.21502791,0.058677082
0.006,0.019672316,0.13780058,0.26953478
0.01118034,0.012369317,0.23009998,0.282871
0.0083666003,0.011224972,0.12163059,0.26468283
0.006,0.015,0.22891483,0.36726421
0.0078102497,0.0067082039,0.0430581,0.21934676
0.0098488578,0.012727922,0.046195238,0.26482825
0.005,0.013747727,0.064397205,0.12397984
0.0063245553,0.0067082039,0.23185125,0.28929915
0.014628739,0.003,0.22539077,0.2851298
0.003,0.010816654,0.15817395,0.31502381
0.017,0.0084852814,0.18087841,0.21800229
0.017233688,0.009,0.4111946,0.10697663
0.009486833,0.016431677,0.30578587,0.025475478
0.012529964,0.012369317,0.20339371,0.043462628
0.015620499,0.010816654,0.1924422,0.041218928
0.014317821,0.0051961524,0.37048482,0.015524175
0.023452079,0.016155494,0.24153675,0.050009999
0.033526109,0.009,0.14640355,0.11385078
0.0098488578,0.010816654,0.08579627,0.04414748
0.048641546,0.015588457,0.14910399,0.076085478
0.019646883,0.015297059,0.25289721,0.067586981
0.026019224,0.0067082039,0.094180677,0.022671568
0.27071387,0.015297059,0.25793604,0.034899857
0.25970175,0.015297059,0.18127603,0.10698131
0.54265366,0.03132092,0.13703284,0.062888791
0.24850151,0.021213203,0.085936023,0.20130574
0.62147325,0.014071247,0.15142655,0.1938943
0.72946419,0.0084852814,0.2502259,0.16882239
0.34977707,0.011224972,0.42523053,0.61933513
0.10222035,0.02078461,0.75090945,0.7914373
0.053712196,0.012369317,1.0025473,0.33009393
0.054083269,0.006,0.45054855,0.074966659
0.018973666,0.009,1.7704499,0.53954611
0.0067082039,0.012369317,0.6526293,0.64616561
0.013453624,0.016155494,0.2497759,0.35692856
0.017,0.013416408,0.22505333,0.11476933
0.015297059,0.013416408,0.062585941,0.15464152
0.015811388,0.038626416,0.087372765,0.054735729
0.012727922,0.038392708,0.26800187,0.12918204
0.009,0.010816654,0.28446089,0.13118689
0.0078102497,0.009486833,0.10257193,0.1403745
0.0058309519,0.009486833,0.86193619,0.23331095
0.008,0.012727922,0.4826479,0.074572113
0.0067082039,0.012369317,0.24707286,0.085094066
0.009,0.015,0.16891122,0.022449944
0.003,0.014071247,0.098371744,0.1044318
0.003,0.009,0.068949257,0.051156622
0.0073484692,0.012727922,0.053674948,0.095519631
0.009,0.010816654,0.59583471,0.082352899
0.0099498744,0.009486833,0.48822229,0.09681942
0.012369317,0.0067082039,0.064070274,0.017521415
0.003,0.0067082039,0.097334475,0.020518285
0.011224972,0.003,0.12905038,0.12251122
0.0067082039,0.0084852814,0.23518503,0.038392708
0.009486833,0.010816654,0.21140956,0.26976101
0.010816654,0.013076697,0.18834543,0.43643442
0.015,0.0067082039,0.024372115,0.23005434
0.010816654,0.0073484692,0.26445794,0.080616376
0.0067082039,0.009486833,0.24548116,0.10235233
0.0084852814,0.009486833,0.16201543,0.046872167
0.0073484692,0.0051961524,0.10542296,0.036728735
0.014696938,0.014696938,0.062377881,0.018027756
0.021424285,0.012529964,0.26387497,0.03748333
0.009,0.015620499,0.23290771,0.24575394
0.034985711,0.0084852814,0.13379462,0.3089644
0.027294688,0.009,0.093225533,0.16245923
0.010440307,0.0042426407,0.046850827,0.15654392
0.015297059,0.003,0.17801404,0.11368817
0.014696938,0.013747727,0.16696407,0.14761098
0.012884099,0.0042426407,0.023430749,0.085117566
0.005,0.003,0.3769045,0.13003846
0.0084852814,0.010392305,0.34767514,0.031622777
0.013416408,0.009,1.0110198,0.083156479
0.015297059,0.009486833,0.55605845,0.024698178
0.015,0.013747727,0.47784621,0.098615415
0.0067082039,0.015588457,1.2894255,0.16507271
0.0084852814,0.012727922,0.44349295,0.12685031
0.009,0.0099498744,0.22830024,0.19861772
0.0073484692,0.0067082039,0.094519839,0.074249579
0.010816654,0.018493242,0.049879856,0.074766303
0.010816654,0.016970563,0.012369317,0.070689462
0.0067082039,0.0067082039,0.03748333,0.047947888
0.018493242,0.010816654,0.056356011,0.053225934
0.009,0.009,0.042083251,0.038236109
0.006,0.012727922,0.16745447,0.079
0.0067082039,0.013416408,0.18977355,0.061943523
0.006,0.0073484692,0.15441826,0.044911023
0.0073484692,0.0067082039,0.14664924,0.074087786
0.021213203,0.0067082039,0.04243819,0.13424232
0.009,0.023,0.032465366,0.16715562
0.009486833,0.021095023,0.070562029,0.088260977
0.0042426407,0.009486833,0.082097503,0.11272977
0.0067082039,0.012,0.04747631,0.12439051
0.0067082039,0.014696938,0.061911227,0.10912836
0.0042426407,0.015297059,0.017233688,0.034263683
0.013076697,0.013076697,0.037,0.071147734
0.015297059,0.009,0.044519659,0.040853396
0.0051961524,0.017492856,0.034612137,0.052630789
0.0067082039,0.013416408,0.018248288,0.042083251
0.010816654,0.011224972,0.10336827,0.06061353
0.0073484692,0.009486833,0.062681736,0.11995833
0.0051961524,0.012369317,0.22947113,0.083456576
0.011789826,0.0067082039,0.894596,0.33550708
0.010440307,0.003,0.41224629,0.1501033
0.0099498744,0.0067082039,0.37290615,0.23643392
